attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
No,Unknown,2015.7222222222224,6.0,3.0,Unknown,1.0,1.0,0.0,3.0,5.0,resEArch DIREcToR,3.0,Unknown,"16280,83$","42330,17$",7.0,No,13.0,3.0,3.0,Full Time,0.0,10.0,5.0,3.0,20.0,15.0,15.0,1972.0,"195370,00$",Yes
No,Unknown,2063.3888888888887,1.0,4.0,Life Sciences,2.0,3.0,0.0,2.0,5.0,ManAGeR,3.0,Unknown,Unknown,"43331,17$",0.0,Unknown,14.0,3.0,1.0,Unknown,1.0,34.0,5.0,3.0,33.0,11.0,9.0,1971.0,"199990,00$",1
No,travel_rarely,1984.253968253968,4.0,2.0,Technical Degree,3.0,3.0,0.0,3.0,5.0,ManaGER,4.0,Married,Unknown,"41669,33$",1.0,No,11.0,3.0,4.0,Unknown,0.0,22.0,3.0,3.0,22.0,11.0,15.0,1981.0,"192320,00$",1
No,travel_rarely,1771.4047619047622,2.0,4.0,Medical,4.0,1.0,1.0,3.0,4.0,ReseArCH DIrECtOr,3.0,Married,"14307,50$","37199,50$",3.0,Unknown,19.0,3.0,2.0,Full Time,2.0,10.0,2.0,3.0,20.0,5.0,6.0,1976.0,"171690,00$",False
No,Unknown,1582.7713464696226,3.0,3.0,Technical Degree,5.0,1.0,1.0,4.0,4.0,sAleS EXECUtIve,1.0,Divorced,"12783,92$","33238,20$",2.0,No,12.0,3.0,4.0,Unknown,1.0,10.0,5.0,3.0,19.0,2.0,8.0,1977.0,Unknown,0
No,Unknown,1771.920634920635,22.0,3.0,Medical,6.0,4.0,1.0,3.0,4.0,MANAger,4.0,Unknown,"14311,67$","37210,33$",3.0,No,11.0,3.0,2.0,Unknown,1.0,10.0,3.0,3.0,22.0,4.0,7.0,1975.0,Unknown,Yes
No,Unknown,1032.4872861766066,25.0,3.0,Life Sciences,7.0,1.0,1.0,3.0,3.0,Sales ExeCutIVe,1.0,Unknown,"8339,32$","21682,23$",7.0,Unknown,11.0,3.0,4.0,Part Time,0.0,28.0,3.0,2.0,21.0,7.0,9.0,1964.0,"100071,84$",True
No,travel_rarely,556.2566609977324,1.0,1.0,Unknown,8.0,2.0,0.0,3.0,2.0,Sales eXEcUTiVe,3.0,Married,Unknown,"11681,39$",1.0,No,25.0,4.0,3.0,Part Time,0.0,20.0,3.0,3.0,20.0,11.0,6.0,1981.0,"53914,11$",0
No,Unknown,1712.1825396825398,2.0,5.0,Unknown,9.0,2.0,1.0,3.0,4.0,mANAGEr,1.0,Married,"13829,17$","35955,83$",7.0,No,16.0,3.0,2.0,Full Time,1.0,22.0,2.0,3.0,18.0,11.0,8.0,1982.0,"165950,00$",True
No,travel_frequently,1973.9841269841268,9.0,3.0,Unknown,10.0,1.0,0.0,3.0,5.0,reSEaRCH DIrectoR,3.0,Unknown,"15943,72$","41453,67$",2.0,No,17.0,3.0,2.0,Unknown,1.0,21.0,2.0,4.0,18.0,0.0,11.0,1982.0,Unknown,0
