attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
No,Unknown,2015.72,6.0,3.0,Unknown,1.0,1.0,F,3.0,5.0,Research Director,3.0,Unknown,1628083.0,4233017,7.0,No,13.0,3.0,3.0,Full Time,0.0,10,5.0,3.0,20,15,15,1970,19537000.0,Yes
No,Unknown,2063.39,1.0,4.0,Life Sciences,2.0,3.0,F,2.0,5.0,Manager,3.0,Unknown,449284.0,4333117,0.0,Unknown,14.0,3.0,1.0,Unknown,1.0,34,5.0,3.0,33,11,9,1970,19999000.0,Yes
No,Travel Rarely,1984.25,4.0,2.0,Technical Degree,3.0,3.0,F,3.0,5.0,Manager,4.0,Married,449284.0,4166933,1.0,No,11.0,3.0,4.0,Unknown,0.0,22,3.0,3.0,22,11,15,1970,19232000.0,Yes
No,Travel Rarely,1771.4,2.0,4.0,Medical,4.0,1.0,M,3.0,4.0,Research Director,3.0,Married,1430750.0,3719950,3.0,Unknown,19.0,3.0,2.0,Full Time,2.0,10,2.0,3.0,20,5,6,1970,17169000.0,No
No,Unknown,1582.77,3.0,3.0,Technical Degree,5.0,1.0,M,4.0,4.0,Sales Executive,1.0,Divorced,1278392.0,3323820,2.0,No,12.0,3.0,4.0,Unknown,1.0,10,5.0,3.0,19,2,8,1970,5391411.0,No
No,Unknown,1771.92,22.0,3.0,Medical,6.0,4.0,M,3.0,4.0,Manager,4.0,Unknown,1431167.0,3721033,3.0,No,11.0,3.0,2.0,Unknown,1.0,10,3.0,3.0,22,4,7,1970,5391411.0,Yes
No,Unknown,1032.49,25.0,3.0,Life Sciences,7.0,1.0,M,3.0,3.0,Sales Executive,1.0,Unknown,833932.0,2168223,7.0,Unknown,11.0,3.0,4.0,Part Time,0.0,28,3.0,2.0,21,7,9,1970,10007184.0,Yes
No,Travel Rarely,556.26,1.0,1.0,Unknown,8.0,2.0,F,3.0,2.0,Sales Executive,3.0,Married,449284.0,1168139,1.0,No,25.0,4.0,3.0,Part Time,0.0,20,3.0,3.0,20,11,6,1970,5391411.0,No
No,Unknown,1712.18,2.0,5.0,Unknown,9.0,2.0,M,3.0,4.0,Manager,1.0,Married,1382917.0,3595583,7.0,No,16.0,3.0,2.0,Full Time,1.0,22,2.0,3.0,18,11,8,1970,16595000.0,Yes
No,Travel Frequently,1973.98,9.0,3.0,Unknown,10.0,1.0,F,3.0,5.0,Research Director,3.0,Unknown,1594372.0,4145367,2.0,No,17.0,3.0,2.0,Unknown,1.0,21,2.0,4.0,18,0,11,1970,5391411.0,No
No,Non-Travel,2060.71,7.0,1.0,Unknown,11.0,2.0,M,1.0,5.0,Research Director,3.0,Unknown,1664417.0,4327483,1.0,No,22.0,4.0,2.0,Full Time,2.0,10,3.0,3.0,21,5,10,1970,19973000.0,No
No,Travel Rarely,1382.75,23.0,3.0,Life Sciences,12.0,4.0,F,3.0,4.0,Manufacturing Director,2.0,Married,449284.0,2903767,4.0,Yes,12.0,3.0,1.0,Full Time,1.0,33,0.0,3.0,19,15,9,1970,13402000.0,No
No,Unknown,1362.52,10.0,3.0,Medical,13.0,2.0,M,1.0,3.0,Research Director,3.0,Married,449284.0,2861300,3.0,No,12.0,3.0,1.0,Full Time,1.0,10,3.0,3.0,18,1,11,1970,13206000.0,Yes
Yes,Travel Rarely,2016.55,12.0,3.0,Unknown,14.0,2.0,M,3.0,5.0,Research Director,3.0,Married,449284.0,4234750,1.0,No,12.0,3.0,4.0,Full Time,0.0,10,0.0,3.0,22,15,8,1970,19545000.0,No
No,Unknown,1973.98,14.0,4.0,Medical,15.0,3.0,F,4.0,5.0,Research Director,2.0,Single,1594372.0,4145367,8.0,No,11.0,3.0,4.0,Unknown,0.0,10,3.0,3.0,24,2,15,1970,5391411.0,Yes
No,Travel Rarely,1861.37,2.0,4.0,Unknown,16.0,3.0,M,3.0,5.0,Manager,3.0,Unknown,1503417.0,3908883,0.0,No,14.0,3.0,4.0,Full Time,0.0,10,2.0,3.0,20,1,12,1970,18041000.0,No
Yes,Travel Rarely,1985.7,2.0,4.0,Unknown,17.0,4.0,F,3.0,5.0,Research Director,2.0,Single,1603833.0,4169967,7.0,Yes,12.0,3.0,4.0,Full Time,0.0,40,2.0,3.0,31,13,8,1970,19246000.0,No
No,Travel Rarely,1582.77,2.0,3.0,Unknown,18.0,3.0,M,3.0,4.0,Manager,1.0,Unknown,1278392.0,3323820,8.0,Unknown,23.0,4.0,1.0,Unknown,0.0,28,2.0,3.0,26,15,9,1970,5391411.0,No
No,Unknown,556.26,-13.0,5.0,Life Sciences,19.0,2.0,F,4.0,2.0,Research Scientist,1.0,Married,449284.0,1168139,1.0,Unknown,11.0,3.0,4.0,Unknown,0.0,10,2.0,3.0,16,1,10,1970,5391411.0,No
No,Travel Rarely,1032.49,15.0,3.0,Life Sciences,20.0,1.0,M,2.0,3.0,Manufacturing Director,3.0,Unknown,833932.0,2168223,1.0,Unknown,13.0,3.0,4.0,Unknown,2.0,18,2.0,3.0,18,14,12,1970,5391411.0,Yes
No,Non-Travel,1108.92,1.0,1.0,Unknown,21.0,3.0,F,2.0,3.0,Healthcare Representative,3.0,Unknown,895667.0,2328733,3.0,Unknown,23.0,4.0,4.0,Full Time,1.0,25,3.0,2.0,23,14,4,1970,10748000.0,No
No,Unknown,1032.49,1.0,2.0,Life Sciences,22.0,1.0,M,3.0,3.0,Research Director,4.0,Single,449284.0,2168223,1.0,Yes,12.0,3.0,3.0,Part Time,0.0,15,1.0,3.0,15,8,12,1970,10007184.0,Yes
No,Unknown,1032.49,8.0,3.0,Unknown,23.0,3.0,M,3.0,3.0,Healthcare Representative,3.0,Divorced,449284.0,2168223,1.0,Unknown,13.0,3.0,2.0,Unknown,3.0,17,2.0,3.0,17,12,8,1970,10007184.0,Yes
No,Unknown,1728.38,2.0,2.0,Other,24.0,3.0,M,3.0,4.0,Manager,4.0,Married,449284.0,3629600,1.0,Unknown,11.0,3.0,3.0,Full Time,1.0,10,3.0,2.0,26,3,0,1970,16752000.0,No
No,Travel Rarely,639.79,-42.0,2.0,Life Sciences,25.0,42.0,F,3.0,2.0,Sales Executive,4.0,Unknown,516750.0,1343550,1.0,Unknown,14.0,3.0,4.0,Full Time,1.0,18,1.0,3.0,18,4,11,1970,6201000.0,Yes
No,Unknown,1032.49,9.0,3.0,Life Sciences,26.0,4.0,M,2.0,3.0,Manufacturing Director,3.0,Married,449284.0,2168223,1.0,Yes,20.0,4.0,2.0,Part Time,1.0,17,2.0,3.0,17,5,15,1970,10007184.0,No
Yes,Unknown,2047.5,2.0,1.0,Unknown,27.0,1.0,M,1.0,5.0,Manager,4.0,Married,449284.0,4299750,1.0,No,15.0,3.0,4.0,Full Time,1.0,33,3.0,3.0,32,6,9,1970,19845000.0,Yes
No,Unknown,556.26,2.0,4.0,Life Sciences,28.0,3.0,M,3.0,2.0,Manufacturing Director,2.0,Single,449284.0,1168139,9.0,Yes,11.0,3.0,4.0,Unknown,0.0,18,2.0,3.0,16,5,12,1970,5391411.0,No
No,Travel Rarely,556.26,28.0,4.0,Life Sciences,29.0,2.0,F,3.0,2.0,Laboratory Technician,3.0,Married,449284.0,1168139,1.0,Unknown,12.0,3.0,2.0,Part Time,1.0,15,3.0,3.0,15,5,7,1970,5391411.0,Yes
No,Non-Travel,412.8,10.0,3.0,Life Sciences,30.0,4.0,F,3.0,2.0,Sales Executive,3.0,Unknown,333417.0,866883,1.0,Yes,14.0,3.0,3.0,Part Time,1.0,15,3.0,3.0,15,0,7,1970,4001000.0,Yes
No,Unknown,1077.87,-37.0,1.0,Unknown,31.0,37.0,M,3.0,3.0,Sales Executive,3.0,Divorced,870583.0,2263517,0.0,Unknown,13.0,3.0,4.0,Full Time,1.0,10,3.0,4.0,22,13,5,1970,10447000.0,Yes
No,Unknown,1032.49,25.0,3.0,Medical,32.0,1.0,F,3.0,3.0,Healthcare Representative,3.0,Unknown,833932.0,2168223,2.0,Unknown,23.0,4.0,2.0,Unknown,0.0,25,3.0,3.0,17,12,11,1970,5391411.0,Yes
No,Travel Rarely,1973.98,5.0,3.0,Unknown,33.0,3.0,M,3.0,5.0,Manager,3.0,Unknown,1594372.0,4145367,4.0,Unknown,11.0,3.0,4.0,Full Time,1.0,26,3.0,2.0,14,4,8,1970,19132462.0,Yes
No,Unknown,556.26,1.0,4.0,Marketing,34.0,3.0,F,2.0,2.0,Sales Executive,1.0,Single,449284.0,1168139,0.0,No,14.0,3.0,2.0,Part Time,0.0,16,2.0,3.0,15,2,8,1970,5391411.0,No
No,Travel Rarely,556.26,6.0,4.0,Other,35.0,1.0,M,3.0,2.0,Research Scientist,3.0,Single,449284.0,1168139,1.0,Unknown,14.0,3.0,3.0,Unknown,0.0,16,3.0,3.0,16,2,10,1970,5391411.0,Yes
No,Travel Rarely,1032.49,1.0,2.0,Unknown,36.0,2.0,M,3.0,3.0,Sales Executive,1.0,Divorced,833932.0,2168223,1.0,No,25.0,4.0,3.0,Part Time,3.0,24,2.0,3.0,24,15,7,1970,10007184.0,Yes
No,Unknown,1657.4,16.0,3.0,Unknown,37.0,4.0,M,3.0,4.0,Manager,4.0,Married,449284.0,3480533,5.0,Unknown,22.0,4.0,3.0,Full Time,1.0,22,3.0,3.0,17,1,9,1970,16064000.0,Yes
No,Unknown,331.19,6.0,3.0,Life Sciences,38.0,4.0,F,3.0,1.0,Laboratory Technician,4.0,Married,267500.0,695500,0.0,Unknown,11.0,3.0,3.0,Full Time,1.0,16,4.0,3.0,15,10,11,1970,3210000.0,Yes
No,Travel Frequently,1059.19,28.0,3.0,Unknown,39.0,3.0,M,2.0,3.0,Sales Executive,1.0,Married,855500.0,2224300,4.0,No,19.0,3.0,4.0,Full Time,0.0,22,5.0,4.0,18,13,11,1970,10266000.0,Yes
No,Travel Frequently,1080.75,5.0,4.0,Unknown,40.0,4.0,F,2.0,3.0,Sales Executive,1.0,Married,872917.0,2269583,5.0,Yes,21.0,4.0,3.0,Full Time,1.0,20,2.0,3.0,18,1,12,1970,10475000.0,No
No,Travel Rarely,635.76,4.0,3.0,Unknown,41.0,3.0,M,2.0,2.0,Manufacturing Director,3.0,Married,449284.0,1335100,1.0,No,12.0,3.0,3.0,Full Time,1.0,14,3.0,3.0,14,6,8,1970,6162000.0,No
No,Travel Rarely,487.09,-35.0,3.0,Unknown,42.0,35.0,F,3.0,1.0,Laboratory Technician,1.0,Single,393417.0,1022883,2.0,Yes,13.0,3.0,3.0,Full Time,0.0,20,3.0,3.0,18,2,17,1970,4721000.0,Yes
No,Unknown,1582.77,2.0,2.0,Medical,43.0,3.0,F,3.0,4.0,Manager,3.0,Divorced,1278392.0,3323820,6.0,No,13.0,3.0,3.0,Full Time,1.0,22,3.0,4.0,17,15,2,1970,15340707.0,No
Yes,Travel Rarely,290.04,16.0,4.0,Unknown,44.0,3.0,M,4.0,1.0,Laboratory Technician,1.0,Single,449284.0,609075,1.0,Unknown,16.0,3.0,3.0,Part Time,0.0,18,1.0,3.0,17,15,14,1970,2811113.0,Yes
No,Unknown,476.15,8.0,4.0,Life Sciences,45.0,4.0,M,2.0,2.0,Research Scientist,1.0,Divorced,384583.0,999917,8.0,Yes,23.0,4.0,1.0,Part Time,3.0,10,2.0,3.0,16,1,7,1970,4615000.0,No
No,Travel Rarely,556.26,1.0,4.0,Unknown,46.0,4.0,F,3.0,2.0,Sales Executive,2.0,Married,449284.0,1168139,0.0,No,15.0,3.0,1.0,Unknown,2.0,16,3.0,3.0,15,5,8,1970,5391411.0,Yes
No,Unknown,1032.49,1.0,4.0,Unknown,47.0,1.0,M,2.0,3.0,Healthcare Representative,1.0,Single,833932.0,2168223,3.0,Unknown,20.0,4.0,3.0,Part Time,0.0,23,1.0,2.0,13,12,8,1970,10007184.0,Yes
No,Unknown,1749.74,26.0,2.0,Unknown,48.0,3.0,F,3.0,4.0,Manager,4.0,Married,1413250.0,3674450,1.0,Yes,12.0,3.0,4.0,Full Time,2.0,25,3.0,4.0,25,4,12,1970,16959000.0,Yes
No,Unknown,290.04,1.0,3.0,Life Sciences,49.0,4.0,M,3.0,1.0,Research Scientist,4.0,Single,449284.0,609075,1.0,No,12.0,3.0,2.0,Part Time,0.0,10,3.0,3.0,17,5,7,1970,2811113.0,Yes
No,Travel Rarely,556.26,8.0,2.0,Technical Degree,50.0,3.0,M,2.0,2.0,Sales Executive,2.0,Married,449284.0,1168139,1.0,Yes,11.0,3.0,4.0,Part Time,0.0,10,2.0,3.0,13,11,9,1970,5391411.0,Yes
No,Unknown,1032.49,1.0,3.0,Unknown,51.0,4.0,M,3.0,3.0,Research Director,1.0,Married,833932.0,2168223,1.0,Unknown,13.0,3.0,2.0,Part Time,1.0,15,3.0,3.0,15,5,11,1970,10007184.0,No
No,Unknown,1582.77,3.0,3.0,Life Sciences,52.0,3.0,M,3.0,4.0,Manager,2.0,Unknown,1278392.0,3323820,8.0,No,12.0,3.0,4.0,Full Time,1.0,23,2.0,4.0,13,5,1,1970,15340707.0,Yes
Yes,Travel Rarely,1063.32,10.0,3.0,Medical,53.0,4.0,F,2.0,3.0,Sales Executive,1.0,Married,858833.0,2232967,9.0,Unknown,17.0,3.0,3.0,Unknown,0.0,15,3.0,3.0,13,6,0,1970,5391411.0,No
No,Unknown,1973.98,6.0,3.0,Medical,54.0,1.0,M,2.0,5.0,Manager,3.0,Married,1594372.0,4145367,7.0,No,13.0,3.0,4.0,Unknown,0.0,21,2.0,3.0,16,6,14,1970,5391411.0,Yes
No,Non-Travel,556.26,1.0,4.0,Life Sciences,55.0,3.0,F,3.0,2.0,Healthcare Representative,3.0,Divorced,449284.0,1168139,1.0,No,21.0,3.0,1.0,Unknown,1.0,10,2.0,2.0,13,1,9,1970,5391411.0,Yes
No,Non-Travel,557.76,15.0,4.0,Marketing,56.0,4.0,F,1.0,2.0,Sales Executive,4.0,Divorced,450500.0,1171300,1.0,No,24.0,4.0,1.0,Full Time,1.0,10,4.0,2.0,15,11,11,1970,5406000.0,Yes
No,Unknown,556.26,6.0,3.0,Medical,57.0,2.0,M,1.0,2.0,Research Scientist,4.0,Unknown,449284.0,1168139,7.0,Unknown,12.0,3.0,4.0,Part Time,3.0,17,3.0,3.0,13,1,9,1970,5391411.0,Yes
No,Unknown,556.26,-26.0,4.0,Medical,58.0,3.0,M,3.0,2.0,Manufacturing Director,1.0,Unknown,449284.0,1168139,1.0,No,14.0,3.0,3.0,Part Time,0.0,16,2.0,2.0,15,5,11,1970,5391411.0,No
No,Travel Rarely,608.94,4.0,4.0,Life Sciences,59.0,4.0,M,2.0,2.0,Sales Executive,3.0,Married,491833.0,1278767,4.0,Unknown,14.0,3.0,3.0,Full Time,1.0,17,1.0,4.0,15,5,9,1970,5902000.0,Yes
No,Unknown,1119.96,4.0,4.0,Unknown,60.0,3.0,F,2.0,3.0,Sales Executive,4.0,Married,449284.0,2351917,7.0,No,11.0,3.0,1.0,Full Time,1.0,15,2.0,2.0,12,2,11,1970,10855000.0,Yes
No,Unknown,610.17,5.0,2.0,Unknown,61.0,4.0,F,3.0,2.0,Laboratory Technician,2.0,Single,492833.0,1281367,8.0,No,16.0,3.0,4.0,Full Time,0.0,16,3.0,4.0,13,3,7,1970,5914000.0,Yes
No,Unknown,556.26,25.0,5.0,Unknown,62.0,2.0,M,3.0,2.0,Research Scientist,3.0,Married,449284.0,1168139,3.0,Yes,15.0,3.0,1.0,Unknown,2.0,15,2.0,3.0,13,10,7,1970,5391411.0,No
No,Unknown,685.7,6.0,4.0,Unknown,63.0,2.0,F,1.0,2.0,Research Scientist,4.0,Unknown,553833.0,1439967,1.0,Unknown,13.0,3.0,2.0,Full Time,0.0,10,3.0,3.0,17,11,8,1970,6646000.0,Yes
No,Travel Frequently,556.26,6.0,3.0,Life Sciences,64.0,3.0,F,3.0,2.0,Healthcare Representative,4.0,Divorced,449284.0,1168139,3.0,No,23.0,4.0,3.0,Part Time,1.0,15,2.0,1.0,13,4,7,1970,5391411.0,No
No,Travel Rarely,1441.66,24.0,3.0,Unknown,65.0,4.0,F,3.0,4.0,Manufacturing Director,3.0,Married,449284.0,3027483,3.0,Yes,18.0,3.0,4.0,Full Time,1.0,22,2.0,3.0,12,1,5,1970,13973000.0,No
No,Travel Rarely,1032.49,4.0,4.0,Unknown,66.0,3.0,F,2.0,3.0,Healthcare Representative,3.0,Single,449284.0,2168223,7.0,Unknown,14.0,3.0,2.0,Part Time,0.0,27,3.0,3.0,15,4,8,1970,10007184.0,Yes
No,Travel Rarely,1374.29,28.0,3.0,Unknown,67.0,4.0,M,4.0,4.0,Sales Executive,4.0,Married,1110000.0,2886000,3.0,Unknown,18.0,3.0,3.0,Unknown,1.0,10,2.0,3.0,12,11,11,1970,5391411.0,Yes
No,Travel Rarely,556.26,29.0,4.0,Unknown,68.0,4.0,F,3.0,2.0,Research Scientist,4.0,Single,449284.0,1168139,1.0,Unknown,25.0,4.0,2.0,Part Time,0.0,10,3.0,3.0,20,13,17,1970,5391411.0,Yes
No,Unknown,556.26,-25.0,1.0,Unknown,69.0,25.0,M,4.0,2.0,Healthcare Representative,3.0,Unknown,449284.0,1168139,5.0,No,20.0,4.0,2.0,Part Time,3.0,15,0.0,3.0,12,11,8,1970,5391411.0,Yes
No,Travel Rarely,689.93,2.0,4.0,Unknown,70.0,3.0,M,3.0,2.0,Healthcare Representative,4.0,Single,557250.0,1448850,1.0,Unknown,11.0,3.0,4.0,Full Time,0.0,14,2.0,4.0,14,4,11,1970,6687000.0,Yes
No,Non-Travel,556.26,8.0,4.0,Unknown,71.0,3.0,M,3.0,2.0,Healthcare Representative,3.0,Unknown,449284.0,1168139,1.0,Unknown,12.0,3.0,4.0,Part Time,1.0,10,5.0,3.0,14,2,9,1970,5391411.0,Yes
No,Unknown,1032.49,17.0,5.0,Life Sciences,72.0,4.0,M,2.0,3.0,Research Director,1.0,Unknown,449284.0,2168223,5.0,No,15.0,3.0,3.0,Part Time,3.0,10,3.0,3.0,14,1,11,1970,10007184.0,No
No,Unknown,1582.77,6.0,1.0,Life Sciences,73.0,3.0,M,2.0,4.0,Healthcare Representative,3.0,Unknown,1278392.0,3323820,2.0,Unknown,19.0,3.0,2.0,Full Time,1.0,10,3.0,3.0,15,2,12,1970,15340707.0,Yes
No,Travel Frequently,488.53,1.0,3.0,Life Sciences,74.0,4.0,F,3.0,2.0,Research Scientist,4.0,Unknown,449284.0,1025917,7.0,No,15.0,3.0,4.0,Part Time,2.0,19,4.0,3.0,13,2,9,1970,4735000.0,Yes
No,Unknown,290.04,21.0,3.0,Unknown,75.0,2.0,F,4.0,1.0,Laboratory Technician,2.0,Unknown,449284.0,609075,1.0,No,18.0,3.0,4.0,Part Time,3.0,14,6.0,3.0,14,2,13,1970,2811113.0,Yes
