Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Standardhours,Stockoptionlevel,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Salary,Remotework
No,Unknown,2015.72,6,3,Unknown,1,1,F,3,5,Research director,3,Unknown,7,No,13,3.0,3,Full time,0,5,3.0,20,15,15,1972,195370.0,yes
No,Unknown,2063.39,1,4,Life sciences,2,3,F,2,5,Manager,3,Unknown,0,Nan,14,3.0,1,Unknown,1,5,3.0,33,11,9,1971,199990.0,yes
No,Travel_rarely,1984.25,4,2,Technical degree,3,3,F,3,5,Manager,4,Married,1,No,11,3.0,4,Unknown,0,3,3.0,22,11,15,1981,192320.0,yes
No,Travel_rarely,1771.4,2,4,Medical,4,1,M,3,4,Research director,3,Married,3,Nan,19,3.0,2,Full time,2,2,3.0,20,5,6,1976,171690.0,no
No,Unknown,1582.77,3,3,Technical degree,5,1,M,4,4,Sales executive,1,Divorced,2,No,12,3.0,4,Unknown,1,5,3.0,19,2,8,1977,53914.11,no
No,Unknown,1771.92,22,3,Medical,6,4,M,3,4,Manager,4,Unknown,3,No,11,3.0,2,Unknown,1,3,3.0,22,4,7,1975,53914.11,yes
No,Unknown,1032.49,25,3,Life sciences,7,1,M,3,3,Sales executive,1,Unknown,7,Nan,11,3.0,4,Part time,0,3,3.0,21,7,9,1964,100071.84,yes
No,Travel_rarely,556.26,1,1,Unknown,8,2,F,3,2,Sales executive,3,Married,1,No,25,3.0,3,Part time,0,3,3.0,20,11,6,1981,53914.11,no
No,Unknown,1712.18,2,5,Unknown,9,2,M,3,4,Manager,1,Married,7,No,16,3.0,2,Full time,1,2,3.0,18,11,8,1982,165950.0,yes
No,Travel_frequently,1973.98,9,3,Unknown,10,1,F,3,5,Research director,3,Unknown,2,No,17,3.0,2,Unknown,1,2,3.0,18,0,11,1982,53914.11,no
No,Non-travel,2060.71,7,1,Unknown,11,2,M,1,5,Research director,3,Unknown,1,No,22,3.0,2,Full time,2,3,3.0,21,5,10,1982,199730.0,no
No,Travel_rarely,1382.75,23,3,Life sciences,12,4,F,3,4,Manufacturing director,2,Married,4,Yes,12,3.0,1,Full time,1,0,3.0,19,15,9,1967,134020.0,no
No,Unknown,1362.52,10,3,Medical,13,2,M,1,3,Research director,3,Married,3,No,12,3.0,1,Full time,1,3,3.0,18,1,11,1985,132060.0,yes
Yes,Travel_rarely,2016.55,12,3,Unknown,14,2,M,3,5,Research director,3,Married,1,No,12,3.0,4,Full time,0,0,3.0,22,15,8,1982,195450.0,no
No,Unknown,1973.98,14,4,Medical,15,3,F,4,5,Research director,2,Single,8,No,11,3.0,4,Unknown,0,3,3.0,24,2,15,1968,53914.11,yes
No,Travel_rarely,1861.37,2,4,Unknown,16,3,M,3,5,Manager,3,Unknown,0,No,14,3.0,4,Full time,0,2,3.0,20,1,12,1983,180410.0,no
Yes,Travel_rarely,1985.7,2,4,Unknown,17,4,F,3,5,Research director,2,Single,7,Yes,12,3.0,4,Full time,0,2,3.0,31,13,8,1965,192460.0,no
No,Travel_rarely,1582.77,2,3,Unknown,18,3,M,3,4,Manager,1,Unknown,8,Nan,23,3.0,1,Unknown,0,2,3.0,26,15,9,1977,53914.11,no
No,Unknown,556.26,13,5,Life sciences,19,2,F,4,2,Research scientist,1,Married,1,Nan,11,3.0,4,Unknown,0,2,3.0,16,1,10,1988,53914.11,no
No,Travel_rarely,1032.49,15,3,Life sciences,20,1,M,2,3,Manufacturing director,3,Unknown,1,Nan,13,3.0,4,Unknown,2,2,3.0,18,14,12,1983,53914.11,yes
No,Non-travel,1108.92,1,1,Unknown,21,3,F,2,3,Healthcare representative,3,Unknown,3,Nan,23,3.0,4,Full time,1,3,3.0,23,14,4,1978,107480.0,no
No,Unknown,1032.49,1,2,Life sciences,22,1,M,3,3,Research director,4,Single,1,Yes,12,3.0,3,Part time,0,1,3.0,15,8,12,1990,100071.84,yes
No,Unknown,1032.49,8,3,Unknown,23,3,M,3,3,Healthcare representative,3,Divorced,1,Nan,13,3.0,2,Unknown,3,2,3.0,17,12,8,1987,100071.84,yes
No,Unknown,1728.38,2,2,Other,24,3,M,3,4,Manager,4,Married,1,Nan,11,3.0,3,Full time,1,3,3.0,26,3,0,1976,167520.0,no
No,Travel_rarely,639.79,42,2,Life sciences,25,42,F,3,2,Sales executive,4,Unknown,1,Nan,14,3.0,4,Full time,1,1,3.0,18,4,11,1987,62010.0,yes
No,Unknown,1032.49,9,3,Life sciences,26,4,M,2,3,Manufacturing director,3,Married,1,Yes,20,3.0,2,Part time,1,2,3.0,17,5,15,1988,100071.84,no
Yes,Unknown,2047.5,2,1,Unknown,27,1,M,1,5,Manager,4,Married,1,No,15,3.0,4,Full time,1,3,3.0,32,6,9,1971,198450.0,yes
No,Unknown,556.26,2,4,Life sciences,28,3,M,3,2,Manufacturing director,2,Single,9,Yes,11,3.0,4,Unknown,0,2,3.0,16,5,12,1987,53914.11,no
No,Travel_rarely,556.26,28,4,Life sciences,29,2,F,3,2,Laboratory technician,3,Married,1,Nan,12,3.0,2,Part time,1,3,3.0,15,5,7,1990,53914.11,yes
No,Non-travel,412.8,10,3,Life sciences,30,4,F,3,2,Sales executive,3,Unknown,1,Yes,14,3.0,3,Part time,1,3,3.0,15,0,7,1989,40010.0,yes
No,Unknown,1077.87,37,1,Unknown,31,37,M,3,3,Sales executive,3,Divorced,0,Nan,13,3.0,4,Full time,1,3,3.0,22,13,5,1982,104470.0,yes
No,Unknown,1032.49,25,3,Medical,32,1,F,3,3,Healthcare representative,3,Unknown,2,Nan,23,3.0,2,Unknown,0,3,3.0,17,12,11,1976,53914.11,yes
No,Travel_rarely,1973.98,5,3,Unknown,33,3,M,3,5,Manager,3,Unknown,4,Nan,11,3.0,4,Full time,1,3,3.0,14,4,8,1970,191324.62,yes
No,Unknown,556.26,1,4,Marketing,34,3,F,2,2,Sales executive,1,Single,0,No,14,3.0,2,Part time,0,2,3.0,15,2,8,1988,53914.11,no
No,Travel_rarely,556.26,6,4,Other,35,1,M,3,2,Research scientist,3,Single,1,Nan,14,3.0,3,Unknown,0,3,3.0,16,2,10,1989,53914.11,yes
No,Travel_rarely,1032.49,1,2,Unknown,36,2,M,3,3,Sales executive,1,Divorced,1,No,25,3.0,3,Part time,3,2,3.0,24,15,7,1977,100071.84,yes
No,Unknown,1657.4,16,3,Unknown,37,4,M,3,4,Manager,4,Married,5,Nan,22,3.0,3,Full time,1,3,3.0,17,1,9,1980,160640.0,yes
No,Unknown,331.19,6,3,Life sciences,38,4,F,3,1,Laboratory technician,4,Married,0,Nan,11,3.0,3,Full time,1,4,3.0,15,10,11,1987,32100.0,yes
No,Travel_frequently,1059.19,28,3,Unknown,39,3,M,2,3,Sales executive,1,Married,4,No,19,3.0,4,Full time,0,5,3.0,18,13,11,1963,102660.0,yes
No,Travel_frequently,1080.75,5,4,Unknown,40,4,F,2,3,Sales executive,1,Married,5,Yes,21,3.0,3,Full time,1,2,3.0,18,1,12,1983,104750.0,no
No,Travel_rarely,635.76,4,3,Unknown,41,3,M,2,2,Manufacturing director,3,Married,1,No,12,3.0,3,Full time,1,3,3.0,14,6,8,1991,61620.0,no
No,Travel_rarely,487.09,35,3,Unknown,42,35,F,3,1,Laboratory technician,1,Single,2,Yes,13,3.0,3,Full time,0,3,3.0,18,2,17,1982,47210.0,yes
No,Unknown,1582.77,2,2,Medical,43,3,F,3,4,Manager,3,Divorced,6,No,13,3.0,3,Full time,1,3,3.0,17,15,2,1970,153407.07,no
Yes,Travel_rarely,290.04,16,4,Unknown,44,3,M,4,1,Laboratory technician,1,Single,1,Nan,16,3.0,3,Part time,0,1,3.0,17,15,14,1987,28111.13,yes
No,Unknown,476.15,8,4,Life sciences,45,4,M,2,2,Research scientist,1,Divorced,8,Yes,23,3.0,1,Part time,3,2,3.0,16,1,7,1977,46150.0,no
No,Travel_rarely,556.26,1,4,Unknown,46,4,F,3,2,Sales executive,2,Married,0,No,15,3.0,1,Unknown,2,3,3.0,15,5,8,1985,53914.11,yes
No,Unknown,1032.49,1,4,Unknown,47,1,M,2,3,Healthcare representative,1,Single,3,Nan,20,3.0,3,Part time,0,1,3.0,13,12,8,1972,100071.84,yes
No,Unknown,1749.74,26,2,Unknown,48,3,F,3,4,Manager,4,Married,1,Yes,12,3.0,4,Full time,2,3,3.0,25,4,12,1980,169590.0,yes
No,Unknown,290.04,1,3,Life sciences,49,4,M,3,1,Research scientist,4,Single,1,No,12,3.0,2,Part time,0,3,3.0,17,5,7,1986,28111.13,yes
No,Travel_rarely,556.26,8,2,Technical degree,50,3,M,2,2,Sales executive,2,Married,1,Yes,11,3.0,4,Part time,0,2,3.0,13,11,9,1991,53914.11,yes
No,Unknown,1032.49,1,3,Unknown,51,4,M,3,3,Research director,1,Married,1,Nan,13,3.0,2,Part time,1,3,3.0,15,5,11,1985,100071.84,no
No,Unknown,1582.77,3,3,Life sciences,52,3,M,3,4,Manager,2,Unknown,8,No,12,3.0,4,Full time,1,2,3.0,13,5,1,1977,153407.07,yes
Yes,Travel_rarely,1063.32,10,3,Medical,53,4,F,2,3,Sales executive,1,Married,9,Nan,17,3.0,3,Unknown,0,3,3.0,13,6,0,1988,53914.11,no
No,Unknown,1973.98,6,3,Medical,54,1,M,2,5,Manager,3,Married,7,No,13,3.0,4,Unknown,0,2,3.0,16,6,14,1980,53914.11,yes
No,Non-travel,556.26,1,4,Life sciences,55,3,F,3,2,Healthcare representative,3,Divorced,1,No,21,3.0,1,Unknown,1,2,3.0,13,1,9,1967,53914.11,yes
No,Non-travel,557.76,15,4,Marketing,56,4,F,1,2,Sales executive,4,Divorced,1,No,24,3.0,1,Full time,1,4,3.0,15,11,11,1987,54060.0,yes
No,Unknown,556.26,6,3,Medical,57,2,M,1,2,Research scientist,4,Unknown,7,Nan,12,3.0,4,Part time,3,3,3.0,13,1,9,1985,53914.11,yes
No,Unknown,556.26,26,4,Medical,58,3,M,3,2,Manufacturing director,1,Unknown,1,No,14,3.0,3,Part time,0,2,3.0,15,5,11,1974,53914.11,no
No,Travel_rarely,608.94,4,4,Life sciences,59,4,M,2,2,Sales executive,3,Married,4,Nan,14,3.0,3,Full time,1,1,3.0,15,5,9,1984,59020.0,yes
No,Unknown,1119.96,4,4,Unknown,60,3,F,2,3,Sales executive,4,Married,7,No,11,3.0,1,Full time,1,2,3.0,12,2,11,1983,108550.0,yes
No,Unknown,610.17,5,2,Unknown,61,4,F,3,2,Laboratory technician,2,Single,8,No,16,3.0,4,Full time,0,3,3.0,13,3,7,1987,59140.0,yes
No,Unknown,556.26,25,5,Unknown,62,2,M,3,2,Research scientist,3,Married,3,Yes,15,3.0,1,Unknown,2,2,3.0,13,10,7,1986,53914.11,no
No,Unknown,685.7,6,4,Unknown,63,2,F,1,2,Research scientist,4,Unknown,1,Nan,13,3.0,2,Full time,0,3,3.0,17,11,8,1988,66460.0,yes
No,Travel_frequently,556.26,6,3,Life sciences,64,3,F,3,2,Healthcare representative,4,Divorced,3,No,23,3.0,3,Part time,1,2,3.0,13,4,7,1990,53914.11,no
No,Travel_rarely,1441.66,24,3,Unknown,65,4,F,3,4,Manufacturing director,3,Married,3,Yes,18,3.0,4,Full time,1,2,3.0,12,1,5,1973,139730.0,no
No,Travel_rarely,1032.49,4,4,Unknown,66,3,F,2,3,Healthcare representative,3,Single,7,Nan,14,3.0,2,Part time,0,3,3.0,15,4,8,1975,100071.84,yes
No,Travel_rarely,1374.29,28,3,Unknown,67,4,M,4,4,Sales executive,4,Married,3,Nan,18,3.0,3,Unknown,1,2,3.0,12,11,11,1979,53914.11,yes
No,Travel_rarely,556.26,29,4,Unknown,68,4,F,3,2,Research scientist,4,Single,1,Nan,25,3.0,2,Part time,0,3,3.0,20,13,17,1979,53914.11,yes
No,Unknown,556.26,25,1,Unknown,69,25,M,4,2,Healthcare representative,3,Unknown,5,No,20,3.0,2,Part time,3,0,3.0,12,11,8,1983,53914.11,yes
No,Travel_rarely,689.93,2,4,Unknown,70,3,M,3,2,Healthcare representative,4,Single,1,Nan,11,3.0,4,Full time,0,2,3.0,14,4,11,1989,66870.0,yes
No,Non-travel,556.26,8,4,Unknown,71,3,M,3,2,Healthcare representative,3,Unknown,1,Nan,12,3.0,4,Part time,1,5,3.0,14,2,9,1988,53914.11,yes
No,Unknown,1032.49,17,5,Life sciences,72,4,M,2,3,Research director,1,Unknown,5,No,15,3.0,3,Part time,3,3,3.0,14,1,11,1973,100071.84,no
No,Unknown,1582.77,6,1,Life sciences,73,3,M,2,4,Healthcare representative,3,Unknown,2,Nan,19,3.0,2,Full time,1,3,3.0,15,2,12,1974,153407.07,yes
No,Travel_frequently,488.53,1,3,Life sciences,74,4,F,3,2,Research scientist,4,Unknown,7,No,15,3.0,4,Part time,2,4,3.0,13,2,9,1985,47350.0,yes
No,Unknown,290.04,21,3,Unknown,75,2,F,4,1,Laboratory technician,2,Unknown,1,No,18,3.0,4,Part time,3,6,3.0,14,2,13,1990,28111.13,yes
No,Travel_rarely,1032.49,4,3,Life sciences,76,3,M,2,3,Manufacturing director,2,Divorced,8,Yes,12,3.0,3,Part time,1,4,3.0,22,14,10,1976,100071.84,yes
No,Unknown,556.26,8,3,Unknown,77,4,M,2,2,Research scientist,2,Divorced,1,Nan,16,3.0,3,Unknown,1,3,3.0,20,0,7,1985,53914.11,no
No,Travel_rarely,1032.49,10,3,Life sciences,78,3,M,4,3,Research director,4,Unknown,1,Yes,25,3.0,1,Part time,1,2,3.0,16,6,8,1986,100071.84,yes
No,Unknown,556.26,2,3,Unknown,79,3,F,2,2,Healthcare representative,4,Married,1,No,19,3.0,1,Part time,3,3,3.0,11,10,8,1993,53914.11,yes
No,Travel_rarely,1431.24,18,4,Unknown,80,4,F,3,4,Sales executive,3,Single,0,Nan,13,3.0,3,Full time,0,1,3.0,37,1,8,1965,138720.0,yes
No,Travel_rarely,1032.49,5,3,Unknown,81,3,M,2,3,Manager,1,Single,2,Nan,12,3.0,4,Unknown,0,6,3.0,11,5,8,1989,53914.11,no
Yes,Travel_rarely,1032.49,23,4,Medical,82,4,M,3,3,Healthcare representative,4,Married,1,Nan,12,3.0,4,Part time,1,3,3.0,40,15,6,1965,100071.84,yes
No,Unknown,1032.49,3,3,Life sciences,83,1,F,3,3,Sales executive,3,Divorced,0,Nan,12,3.0,3,Unknown,2,6,3.0,16,5,13,1985,53914.11,yes
No,Travel_frequently,1032.49,1,1,Unknown,84,2,M,3,3,Sales executive,4,Married,1,Nan,14,3.0,4,Part time,1,5,3.0,11,4,1,1994,100071.84,yes
No,Travel_rarely,1964.96,1,3,Medical,85,4,F,3,5,Manager,1,Single,0,Nan,14,3.0,3,Full time,0,2,3.0,36,4,13,1968,190450.0,yes
No,Unknown,1652.34,10,4,Unknown,86,4,F,3,4,Manager,2,Unknown,1,Nan,19,3.0,2,Unknown,0,2,3.0,22,0,4,1982,53914.11,yes
No,Travel_rarely,991.82,1,3,Unknown,87,3,F,4,3,Healthcare representative,4,Unknown,0,No,17,3.0,1,Part time,3,5,3.0,18,3,7,1984,96130.0,no
No,Unknown,1187.54,15,2,Life sciences,88,3,F,2,3,Research director,4,Unknown,0,Nan,14,3.0,2,Full time,1,3,3.0,11,2,9,1985,115100.0,yes
No,Unknown,1582.77,12,3,Unknown,89,1,F,2,4,Research director,2,Unknown,1,No,11,3.0,3,Full time,1,3,3.0,25,3,9,1980,153407.07,yes
No,Unknown,444.27,30,2,Unknown,90,2,M,3,2,Manufacturing director,1,Married,1,No,12,3.0,2,Unknown,1,5,3.0,13,3,12,1992,53914.11,yes
No,Travel_rarely,1758.71,27,4,Life sciences,91,27,F,2,4,Manager,3,Marreid,0,No,15,3.0,2,Full time,1,2,3.0,27,15,7,1973,170460.0,yes
No,Unknown,1032.49,25,3,Technical degree,92,4,F,2,3,Manufacturing director,2,Married,3,No,16,3.0,1,Part time,0,2,3.0,13,4,8,1988,100071.84,no
No,Unknown,522.79,16,4,Unknown,93,3,F,4,2,Manufacturing director,3,Unknown,1,Yes,19,3.0,3,Unknown,0,3,3.0,19,2,7,1976,53914.11,yes
No,Unknown,1032.49,25,4,Unknown,94,3,M,3,3,Healthcare representative,3,Divorced,1,Yes,11,3.0,3,Part time,1,3,3.0,16,10,1,1988,100071.84,yes
No,Travel_rarely,1032.49,20,4,Unknown,95,1,F,3,3,Healthcare representative,4,Married,4,Nan,20,3.0,4,Part time,1,6,3.0,11,11,1,1983,100071.84,yes
No,Unknown,556.26,9,4,Life sciences,96,2,M,2,2,Sales executive,3,Married,1,Nan,13,3.0,4,Part time,1,2,3.0,15,4,12,1978,53914.11,no
No,Unknown,290.04,9,3,Medical,97,1,F,3,1,Research scientist,4,Married,0,Nan,13,3.0,2,Unknown,1,5,3.0,14,4,10,1990,28111.13,no
No,Travel_frequently,380.92,3,3,Unknown,98,3,F,3,1,Research scientist,2,Married,1,No,12,3.0,3,Full time,0,2,3.0,11,0,7,1987,36920.0,no
Yes,Unknown,1973.98,13,3,Marketing,99,1,M,1,5,Manager,2,Unknown,2,Yes,16,3.0,1,Full time,0,2,3.0,24,1,11,1978,191324.62,yes
No,Travel_frequently,2047.71,27,3,Unknown,100,27,F,3,5,Manager,2,Unknown,4,Yes,24,3.0,1,Full time,1,5,3.0,29,11,10,1972,198470.0,no
No,Travel_rarely,238.13,7,2,Technical degree,101,2,F,3,1,Sales representative,3,Unknown,0,Yes,25,3.0,2,Part time,1,4,3.0,11,5,7,1989,23080.0,no
No,Travel_rarely,1582.77,15,2,Unknown,102,3,F,2,4,Research director,3,Unknown,1,No,24,3.0,1,Full time,1,3,3.0,14,6,11,1980,153407.07,yes
No,Unknown,556.26,5,2,Medical,103,2,F,2,2,Laboratory technician,4,Unknown,1,No,14,3.0,3,Part time,1,3,3.0,15,4,13,1989,53914.11,no
